mes,NFCI
1971-01,0.709
1971-02,0.878
1971-03,1.076
1971-04,1.424
1971-05,1.402
1971-06,1.028
1971-07,1.253
1971-08,2.037
1971-09,2.199
1971-10,1.575
1971-11,1.361
1971-12,1.315
1972-01,0.987
1972-02,0.607
1972-03,0.338
1972-04,0.152
1972-05,0.032
1972-06,0.215
1972-07,0.337
1972-08,0.158
1972-09,-0.113
1972-10,-0.178
1972-11,-0.252
1972-12,-0.212
1973-01,0.245
1973-02,0.915
1973-03,1.281
1973-04,1.207
1973-05,1.124
1973-06,1.285
1973-07,1.732
1973-08,2.311
1973-09,2.414
1973-10,2.231
1973-11,2.092
1973-12,1.768
1974-01,1.031
1974-02,0.476
1974-03,0.814
1974-04,1.902
1974-05,3.699
1974-06,4.877
1974-07,5.214
1974-08,4.647
1974-09,4.004
1974-10,3.293
1974-11,2.738
1974-12,2.451
1975-01,1.737
1975-02,1.131
1975-03,0.68
1975-04,0.296
1975-05,-0.078
1975-06,-0.175
1975-07,-0.16
1975-08,-0.074
1975-09,0.058
1975-10,0.154
1975-11,0.063
1975-12,-0.188
1976-01,-0.535
1976-02,-0.696
1976-03,-0.745
1976-04,-0.628
1976-05,-0.484
1976-06,-0.477
1976-07,-0.624
1976-08,-0.709
1976-09,-0.726
1976-10,-0.69
1976-11,-0.668
1976-12,-0.762
1977-01,-0.902
1977-02,-0.946
1977-03,-0.853
1977-04,-0.651
1977-05,-0.521
1977-06,-0.488
1977-07,-0.512
1977-08,-0.484
1977-09,-0.374
1977-10,-0.266
1977-11,-0.212
1977-12,-0.257
1978-01,-0.296
1978-02,-0.217
1978-03,0.042
1978-04,0.295
1978-05,0.527
1978-06,0.656
1978-07,0.571
1978-08,0.481
1978-09,0.891
1978-10,1.607
1978-11,2.036
1978-12,1.731
1979-01,1.135
1979-02,0.606
1979-03,0.264
1979-04,0.263
1979-05,0.452
1979-06,0.838
1979-07,1.17
1979-08,1.702
1979-09,2.197
1979-10,2.51
1979-11,2.307
1979-12,1.887
1980-01,1.783
1980-02,2.69
1980-03,3.754
1980-04,3.939
1980-05,2.709
1980-06,1.505
1980-07,0.826
1980-08,0.881
1980-09,1.222
1980-10,1.988
1980-11,2.879
1980-12,3.325
1981-01,2.7
1981-02,1.965
1981-03,1.664
1981-04,1.927
1981-05,2.706
1981-06,3.318
1981-07,3.524
1981-08,3.267
1981-09,2.988
1981-10,2.71
1981-11,2.388
1981-12,2.074
1982-01,1.905
1982-02,2.006
1982-03,2.108
1982-04,2.263
1982-05,2.596
1982-06,2.922
1982-07,3.049
1982-08,3.351
1982-09,3.392
1982-10,2.16
1982-11,1.132
1982-12,0.536
1983-01,0.242
1983-02,0.067
1983-03,0.013
1983-04,-0.093
