date,BAMLH0A0HYM2
2005-01,3.29
2005-02,2.83
2005-03,3.52
2005-04,4.19
2005-05,4.13
2005-06,3.85
2005-07,3.3
2005-08,3.66
2005-09,3.54
2005-10,3.61
2005-11,3.67
2005-12,3.71
2006-01,3.42
2006-02,3.37
2006-03,3.13
2006-04,3.04
2006-05,3.12
2006-06,3.35
2006-07,3.45
2006-08,3.49
2006-09,3.44
2006-10,3.29
2006-11,3.2
2006-12,2.89
2007-01,2.72
2007-02,2.82
2007-03,2.85
2007-04,2.74
2007-05,2.46
2007-06,2.98
2007-07,4.19
2007-08,4.55
2007-09,4.2
2007-10,4.36
2007-11,5.75
2007-12,5.92
2008-01,6.95
2008-02,7.67
2008-03,8.21
2008-04,6.86
2008-05,6.53
2008-06,7.35
2008-07,8.0
2008-08,8.36
2008-09,10.96
2008-10,16.17
2008-11,19.88
2008-12,18.12
2009-01,16.26
2009-02,17.38
2009-03,17.03
2009-04,13.45
2009-05,11.7
2009-06,10.55
2009-07,9.22
2009-08,9.12
2009-09,7.93
2009-10,7.6
2009-11,7.65
2009-12,6.39
2010-01,6.54
2010-02,6.71
2010-03,5.84
2010-04,5.61
2010-05,6.98
2010-06,7.13
2010-07,6.59
2010-08,6.92
2010-09,6.26
2010-10,5.93
2010-11,6.22
2010-12,5.41
2011-01,5.08
2011-02,4.78
2011-03,4.77
2011-04,4.76
2011-05,5.09
2011-06,5.42
2011-07,5.58
2011-08,7.3
2011-09,8.41
2011-10,7.07
2011-11,7.79
2011-12,7.23
2012-01,6.61
2012-02,5.98
2012-03,5.99
2012-04,6.04
2012-05,6.96
2012-06,6.44
2012-07,6.16
2012-08,5.98
2012-09,5.74
2012-10,5.63
2012-11,5.65
2012-12,5.34
2013-01,4.95
2013-02,4.98
2013-03,4.86
2013-04,4.55
2013-05,4.62
2013-06,5.21
2013-07,4.71
2013-08,4.76
2013-09,4.83
2013-10,4.36
2013-11,4.27
2013-12,4.0
2014-01,4.21
2014-02,3.81
2014-03,3.77
2014-04,3.71
2014-05,3.67
2014-06,3.53
2014-07,4.04
2014-08,3.84
2014-09,4.4
2014-10,4.3
2014-11,4.67
2014-12,5.04
2015-01,5.26
2015-02,4.46
2015-03,4.82
2015-04,4.59
2015-05,4.58
2015-06,5.0
2015-07,5.36
2015-08,5.7
2015-09,6.62
2015-10,5.9
2015-11,6.4
2015-12,6.95
2016-01,7.77
2016-02,7.75
2016-03,7.05
2016-04,6.21
2016-05,5.97
2016-06,6.21
2016-07,5.69
2016-08,5.1
2016-09,4.97
2016-10,4.91
2016-11,4.67
2016-12,4.22
2017-01,4.0
2017-02,3.74
2017-03,3.92
2017-04,3.81
2017-05,3.74
2017-06,3.77
2017-07,3.61
2017-08,3.85
2017-09,3.56
2017-10,3.51
2017-11,3.61
2017-12,3.63
2018-01,3.29
2018-02,3.47
2018-03,3.72
2018-04,3.46
2018-05,3.63
2018-06,3.71
2018-07,3.46
2018-08,3.49
2018-09,3.28
2018-10,3.81
2018-11,4.29
2018-12,5.33
2019-01,4.37
2019-02,3.92
2019-03,4.05
2019-04,3.73
2019-05,4.59
2019-06,4.07
2019-07,3.93
2019-08,4.13
2019-09,4.02
2019-10,4.15
2019-11,4.02
2019-12,3.6
2020-01,4.03
2020-02,5.06
2020-03,8.77
2020-04,7.63
2020-05,6.54
2020-06,6.44
2020-07,5.16
2020-08,5.02
2020-09,5.41
2020-10,5.32
2020-11,4.33
2020-12,3.86
2021-01,3.84
2021-02,3.57
2021-03,3.36
2021-04,3.28
2021-05,3.34
2021-06,3.04
2021-07,3.32
2021-08,3.21
2021-09,3.15
2021-10,3.15
2021-11,3.67
2021-12,3.1
2022-01,3.63
2022-02,3.77
2022-03,3.43
2022-04,3.97
2022-05,4.22
2022-06,5.87
2022-07,4.83
2022-08,5.03
2022-09,5.43
2022-10,4.63
2022-11,4.55
2022-12,4.81
2023-01,4.3
2023-02,4.22
2023-03,4.58
2023-04,4.53
2023-05,4.69
2023-06,4.05
2023-07,3.79
2023-08,3.85
2023-09,4.03
2023-10,4.42
2023-11,3.84
2023-12,3.39
2024-01,3.59
2024-02,3.29
2024-03,3.15
2024-04,3.18
2024-05,3.2
2024-06,3.21
2024-07,3.25
2024-08,3.17
2024-09,3.03
2024-10,2.88
2024-11,2.74
2024-12,2.92
2025-01,2.68
2025-02,2.87
2025-03,3.55
2025-04,3.94
2025-05,3.32
2025-06,2.96
2025-07,2.86
2025-08,2.84
2025-09,2.8
2025-10,2.94
2025-11,2.92
2025-12,2.81
2026-01,2.88
2026-02,3.12
2026-03,3.28
2026-04,2.83
2026-05,2.74
2026-06,2.75
