Número da negociação,Tipo,Data e hora,Sinal,Preço BRL,Tamanho (qtd),Tamanho (valor),L&P líquido BRL,Retorno %,Comissão BRL,Excursão favorável BRL,Excursão favorável %,Excursão adversa BRL,Excursão adversa %,L&P acumulado BRL,L&P acumulado %,Duração (barras)
1,Saída long,2023-03-20,EXIT_MOMENTUM_LOSS,13.81,1007,13886.53,-21.55,-0.15,41.69,160.43,1.15,-20.83,-0.15,-21.55,-0.02,2
1,Entrada long,2023-03-15,MOMENTUM_ENTRY,13.79,1007,13886.53,-21.55,-0.15,41.69,160.43,1.15,-20.83,-0.15,-21.55,-0.02,2
2,Saída long,2023-03-29,EXIT_MOMENTUM_LOSS,13.99,1608,23878.8,-1452.44,-6.07,69.56,0,0.00,-1659.9,-6.94,-1473.99,-1.47,2
2,Entrada long,2023-03-24,MOMENTUM_ENTRY,14.85,1608,23878.8,-1452.44,-6.07,69.56,0,0.00,-1659.9,-6.94,-1473.99,-1.47,2
3,Saída long,2023-04-11,EXIT_MOMENTUM_LOSS,13.69,1652,23012.36,-464.92,-2.02,68.44,461.08,2.00,-761.4,-3.30,-1938.91,-1.94,4
3,Entrada long,2023-03-31,MOMENTUM_ENTRY,13.93,1652,23012.36,-464.92,-2.02,68.44,461.08,2.00,-761.4,-3.30,-1938.91,-1.94,4
4,Saída long,2023-04-13,EXIT_MOMENTUM_LOSS,14.02,1848,25650.24,181.38,0.71,77.34,220.24,0.86,-315.68,-1.23,-1757.53,-1.76,1
4,Entrada long,2023-04-12,MOMENTUM_ENTRY,13.88,1848,25650.24,181.38,0.71,77.34,220.24,0.86,-315.68,-1.23,-1757.53,-1.76,1
5,Saída long,2023-04-24,EXIT_MOMENTUM_LOSS,13.84,1782,25642.98,-1055.56,-4.11,75.46,692.16,2.70,-1089.84,-4.24,-2813.09,-2.81,5
5,Entrada long,2023-04-14,MOMENTUM_ENTRY,14.39,1782,25642.98,-1055.56,-4.11,75.46,692.16,2.70,-1089.84,-4.24,-2813.09,-2.81,5
6,Saída long,2023-06-29,EXIT_MOMENTUM_LOSS,24.7,938,22436.96,663.23,2.95,68.41,735.5,3.27,-446.38,-1.99,-2149.86,-2.15,1
6,Entrada long,2023-06-28,MOMENTUM_ENTRY,23.92,938,22436.96,663.23,2.95,68.41,735.5,3.27,-446.38,-1.99,-2149.86,-2.15,1
7,Saída long,2023-07-05,EXIT_MOMENTUM_LOSS,24.82,1115,27540.5,50.98,0.18,82.82,516.19,1.87,-253.16,-0.92,-2098.88,-2.10,2
7,Entrada long,2023-07-03,MOMENTUM_ENTRY,24.7,1115,27540.5,50.98,0.18,82.82,516.19,1.87,-253.16,-0.92,-2098.88,-2.10,2
8,Saída long,2023-07-17,EXIT_MOMENTUM_LOSS,26.47,1221,31111.08,1113.64,3.57,95.15,2346.49,7.53,-449.6,-1.44,-985.24,-0.99,6
8,Entrada long,2023-07-07,MOMENTUM_ENTRY,25.48,1221,31111.08,1113.64,3.57,95.15,2346.49,7.53,-449.6,-1.44,-985.24,-0.99,6
9,Saída long,2023-07-21,EXIT_STOP_TRIGGERED,26.291,988,28276.56,-2382.43,-8.41,81.38,1568.03,5.54,-2343.47,-8.28,-3367.67,-3.37,3
9,Entrada long,2023-07-18,MOMENTUM_ENTRY,28.62,988,28276.56,-2382.43,-8.41,81.38,1568.03,5.54,-2343.47,-8.28,-3367.67,-3.37,3
10,Saída long,2023-09-13,EXIT_MOMENTUM_LOSS,25.75,1054,26265.68,794.71,3.02,80.11,1636.46,6.22,-39.4,-0.15,-2572.96,-2.57,3
10,Entrada long,2023-09-08,MOMENTUM_ENTRY,24.92,1054,26265.68,794.71,3.02,80.11,1636.46,6.22,-39.4,-0.15,-2572.96,-2.57,3
11,Saída long,2023-11-10,EXIT_MOMENTUM_LOSS,30.08,477,14858.55,-554.2,-3.72,43.81,0,0.00,-814.11,-5.47,-3127.16,-3.13,4
11,Entrada long,2023-11-06,MOMENTUM_ENTRY,31.15,477,14858.55,-554.2,-3.72,43.81,0,0.00,-814.11,-5.47,-3127.16,-3.13,4
12,Saída long,2023-11-24,EXIT_STOP_TRIGGERED,31.132,452,14635.76,-607.16,-4.14,43.06,1062.85,7.25,-586.05,-4.00,-3734.32,-3.73,7
12,Entrada long,2023-11-13,MOMENTUM_ENTRY,32.38,452,14635.76,-607.16,-4.14,43.06,1062.85,7.25,-586.05,-4.00,-3734.32,-3.73,7
13,Saída long,2024-04-01,EXIT_MOMENTUM_LOSS,38.41,668,26499.56,-919.92,-3.47,78.24,1610.21,6.07,-894.79,-3.37,-4654.23,-4.65,7
13,Entrada long,2024-03-20,MOMENTUM_ENTRY,39.67,668,26499.56,-919.92,-3.47,78.24,1610.21,6.07,-894.79,-3.37,-4654.23,-4.65,7
14,Saída long,2024-05-07,EXIT_STOP_TRIGGERED,37.12,1259,49352.8,-2762.85,-5.59,144.13,4307.29,8.71,-2692.75,-5.45,-7417.08,-7.42,4
14,Entrada long,2024-04-30,MOMENTUM_ENTRY,39.2,1259,49352.8,-2762.85,-5.59,144.13,4307.29,8.71,-2692.75,-5.45,-7417.08,-7.42,4
15,Saída long,2024-06-21,EXIT_STOP_TRIGGERED,43.39,1131,46054.32,2877.08,6.24,142.69,11546.29,25.03,-498.86,-1.08,-4540,-4.54,11
15,Entrada long,2024-06-06,MOMENTUM_ENTRY,40.72,1131,46054.32,2877.08,6.24,142.69,11546.29,25.03,-498.86,-1.08,-4540,-4.54,11
16,Saída long,2024-08-05,EXIT_MOMENTUM_LOSS,43.9,746,38299.64,-5656.81,-14.75,106.57,0,0.00,-5607.69,-14.62,-10196.82,-10.20,2
16,Entrada long,2024-08-01,MOMENTUM_ENTRY,51.34,746,38299.64,-5656.81,-14.75,106.57,0,0.00,-5607.69,-14.62,-10196.82,-10.20,2
17,Saída long,2024-08-08,EXIT_MOMENTUM_LOSS,50.04,413,20650,-45.45,-0.22,61.97,1187.38,5.74,-225.08,-1.09,-10242.27,-10.24,1
17,Entrada long,2024-08-07,MOMENTUM_ENTRY,50,413,20650,-45.45,-0.22,61.97,1187.38,5.74,-225.08,-1.09,-10242.27,-10.24,1
18,Saída long,2024-10-16,EXIT_STOP_TRIGGERED,77.493,339,18560.25,7642.63,41.12,67.25,9884.52,53.18,-387.18,-2.08,-2599.64,-2.60,48
18,Entrada long,2024-08-09,MOMENTUM_ENTRY,54.75,339,18560.25,7642.63,41.12,67.25,9884.52,53.18,-387.18,-2.08,-2599.64,-2.60,48
19,Saída long,2025-01-22,EXIT_MOMENTUM_LOSS,144.55,148,22089,-760.82,-3.44,65.22,0,0.00,-1035.09,-4.68,-3360.46,-3.36,1
19,Entrada long,2025-01-21,MOMENTUM_ENTRY,149.25,148,22089,-760.82,-3.44,65.22,0,0.00,-1035.09,-4.68,-3360.46,-3.36,1
20,Saída long,2025-02-03,EXIT_MOMENTUM_LOSS,156.6,134,21572.66,-652.1,-3.02,63.84,593.42,2.75,-620.62,-2.87,-4012.56,-4.01,1
20,Entrada long,2025-01-31,MOMENTUM_ENTRY,160.99,134,21572.66,-652.1,-3.02,63.84,593.42,2.75,-620.62,-2.87,-4012.56,-4.01,1
21,Saída long,2025-02-20,EXIT_STOP_TRIGGERED,202.835,139,27661,449.28,1.62,83.78,5400.36,19.49,-1056.19,-3.81,-3563.28,-3.56,12
21,Entrada long,2025-02-04,MOMENTUM_ENTRY,199,139,27661,449.28,1.62,83.78,5400.36,19.49,-1056.19,-3.81,-3563.28,-3.56,12
22,Saída long,2025-03-31,EXIT_MOMENTUM_LOSS,152.38,98,16801.12,-1915.48,-11.38,47.6,61.04,0.36,-1893.08,-11.25,-5478.76,-5.48,1
22,Entrada long,2025-03-28,MOMENTUM_ENTRY,171.44,98,16801.12,-1915.48,-11.38,47.6,61.04,0.36,-1893.08,-11.25,-5478.76,-5.48,1
23,Saída long,2025-07-01,EXIT_MOMENTUM_LOSS,245.3,96,22128.96,1351.32,6.10,68.52,4042.97,18.24,-33.19,-0.15,-4127.44,-4.13,15
23,Entrada long,2025-06-09,MOMENTUM_ENTRY,230.51,96,22128.96,1351.32,6.10,68.52,4042.97,18.24,-33.19,-0.15,-4127.44,-4.13,15
24,Saída long,2025-08-18,EXIT_STOP_TRIGGERED,310.782,132,32048.28,8865.34,27.62,109.61,12915.65,40.24,-356.95,-1.11,4737.9,4.74,30
24,Entrada long,2025-07-07,MOMENTUM_ENTRY,242.79,132,32048.28,8865.34,27.62,109.61,12915.65,40.24,-356.95,-1.11,4737.9,4.74,30
25,Saída long,2025-08-28,EXIT_MOMENTUM_LOSS,282.25,106,31376,-1549.44,-4.93,91.94,0,0.00,-1569.22,-4.99,3188.46,3.19,1
25,Entrada long,2025-08-27,MOMENTUM_ENTRY,296,106,31376,-1549.44,-4.93,91.94,0,0.00,-1569.22,-4.99,3188.46,3.19,1
26,Saída long,2025-09-02,EXIT_MOMENTUM_LOSS,277.2,106,30104,-810.03,-2.69,89.23,166.84,0.55,-765.96,-2.54,2378.43,2.38,1
26,Entrada long,2025-09-01,MOMENTUM_ENTRY,284,106,30104,-810.03,-2.69,89.23,166.84,0.55,-765.96,-2.54,2378.43,2.38,1
27,Saída long,2025-10-20,EXIT_MOMENTUM_LOSS,323.4,156,46566,3738.88,8.02,145.52,6162.35,13.21,-2355.25,-5.05,6117.3,6.12,23
27,Entrada long,2025-09-17,MOMENTUM_ENTRY,298.5,156,46566,3738.88,8.02,145.52,6162.35,13.21,-2355.25,-5.05,6117.3,6.12,23
28,Saída long,2025-10-23,EXIT_MOMENTUM_LOSS,312.01,121,39271.76,-1634.09,-4.15,115.54,369.43,0.94,-2463.18,-6.26,4483.22,4.48,2
28,Entrada long,2025-10-21,MOMENTUM_ENTRY,324.56,121,39271.76,-1634.09,-4.15,115.54,369.43,0.94,-2463.18,-6.26,4483.22,4.48,2
29,Saída long,2025-11-04,EXIT_STOP_TRIGGERED,341.022,110,35970,1432.2,3.98,110.22,5097.35,14.15,-53.95,-0.15,5915.41,5.92,7
29,Entrada long,2025-10-24,MOMENTUM_ENTRY,327,110,35970,1432.2,3.98,110.22,5097.35,14.15,-53.95,-0.15,5915.41,5.92,7
30,Saída long,2025-11-13,EXIT_MOMENTUM_LOSS,323.5,77,25949,-1115.79,-4.29,76.29,104.3,0.40,-1454.95,-5.60,4799.62,4.80,2
30,Entrada long,2025-11-11,MOMENTUM_ENTRY,337,77,25949,-1115.79,-4.29,76.29,104.3,0.40,-1454.95,-5.60,4799.62,4.80,2
31,Saída long,2026-01-02,EXIT_STOP_TRIGGERED,328.691,105,35490,-1082.45,-3.05,105,3023.27,8.51,-1759.48,-4.95,3717.18,3.72,12
31,Entrada long,2025-12-11,MOMENTUM_ENTRY,338,105,35490,-1082.45,-3.05,105,3023.27,8.51,-1759.48,-4.95,3717.18,3.72,12
