entry_signal_time,entry_time,exit_time,entry_price,exit_price,quantity,entry_cost,exit_cost,net_return,holding_bars,exit_reason
2020-02-04,2020-02-05,2020-02-24,307.3500061035156,289.04998779296875,324.8746467549309,149.77533699450822,140.8575190181367,-0.062358448402603406,13,gap_stop
2020-02-25,2020-02-26,2020-02-27,289.45001220703125,278.8599853515625,323.453845679592,140.43557937055368,135.2975020021764,-0.03947263202360107,2,momentum_exit
2020-03-02,2020-03-03,2020-03-04,292.92999267578125,292.3900146484375,306.99534768440736,134.89221742303855,134.64356130966905,-0.004833353778378124,2,momentum_exit
2020-03-04,2020-03-05,2020-03-06,291.0400085449219,284.4599914550781,307.49549127953935,134.24023561428314,131.20524723277921,-0.025536416620635882,2,momentum_exit
2020-04-06,2020-04-07,2020-04-08,280.4599914550781,278.0299987792969,310.94683737647466,130.81222103038448,129.67882322431123,-0.011633864046305176,2,momentum_exit
2020-04-08,2020-04-09,2020-05-01,282.2200012207031,278.3082057407924,305.4127250043568,129.29036943532176,127.49830125955287,-0.016814788340472453,16,intraday_stop
2020-05-18,2020-05-19,2020-06-11,303.82000732421875,332.87892477852955,278.9291382493983,127.11637923880534,139.2744474447923,0.09236316146100076,17,intraday_stop
2020-08-21,2020-08-24,2020-08-25,380.25,379.29998779296875,243.44904650234832,138.85724989877693,138.5103305498259,-0.005486411247614398,2,momentum_exit
2020-08-25,2020-08-26,2020-09-03,380.0899963378906,378.35605076381137,242.21530558840956,138.09542192111948,137.46543968547056,-0.007543775689564658,7,intraday_stop
2020-10-05,2020-10-06,2020-10-22,374.20001220703125,380.4017802647182,244.17184493759262,137.05366103439076,139.32510675717143,0.013528251726076856,13,intraday_stop
2020-11-03,2020-11-04,2020-11-11,373.6600036621094,407.3999938964844,247.83271084133284,138.90775746084438,151.4505673261623,0.0870299750792527,6,momentum_exit
2020-11-11,2020-11-12,2020-12-10,419.0,449.8782283238002,240.24963584880916,150.99689613097658,162.12462079665065,0.07047879488956177,20,intraday_stop
2021-03-25,2021-03-26,2021-05-04,588.6900024414062,629.459963117327,183.04934088909886,161.63897540235212,172.8333470470548,0.06605243668594829,27,intraday_stop
2021-05-11,2021-05-12,2021-05-13,615.0,621.6400146484375,186.79200389278867,172.31562359109756,174.1760760541862,0.007768923243532955,2,momentum_exit
2021-05-14,2021-05-17,2021-05-20,631.8900146484375,632.6900024414062,183.21155730564257,173.6543304444383,173.87418095850128,-0.0017332753299084125,4,momentum_exit
2021-05-20,2021-05-21,2021-05-24,645.8599853515625,647.5,178.93799854384366,173.35333967754718,173.79353108570817,-0.0004638404181029898,2,momentum_exit
2021-05-26,2021-05-27,2021-06-18,661.0,675.3871568952288,174.75837760160522,173.27293139199156,177.04434568795648,0.01870503799502843,16,intraday_stop
2021-07-12,2021-07-13,2021-07-14,706.25,719.97998046875,166.62089265575338,176.51400815718873,179.94556055996253,0.016386938880948332,2,momentum_exit
2021-07-14,2021-07-15,2021-07-19,712.5700073242188,673.8499755859375,167.849269149178,179.40653242049183,169.6578388774366,-0.057171300311672724,3,gap_stop
2021-07-19,2021-07-20,2021-09-20,676.8599853515625,838.8800048828125,166.60228243979427,169.14962767760403,209.6389852598735,0.23565752485695568,44,gap_stop
2021-10-26,2021-10-27,2021-11-22,798.0599975585938,835.7556937081473,174.59924559221557,209.01101026658384,218.88347043126197,0.04409716618275361,19,intraday_stop
2021-11-29,2021-11-30,2021-12-01,807.0700073242188,812.5599975585938,180.26342328001408,218.22780352033456,219.71227017046797,0.0037864884797971232,2,momentum_exit
2021-12-27,2021-12-28,2021-12-29,817.2999877929688,798.1099853515625,178.6811239088746,219.05412058433572,213.91078377826895,-0.02640492671482486,2,momentum_exit
2021-12-29,2021-12-30,2021-12-31,803.6900024414062,801.510009765625,176.9090171051573,213.27001258372596,212.6915220413726,-0.005699861013833574,2,momentum_exit
