entry_signal_time,entry_time,exit_time,entry_price,exit_price,quantity,entry_cost,exit_cost,net_return,holding_bars,exit_reason
2020-02-11,2020-02-12,2020-02-14,31.04148292541504,30.24713134765625,3216.6705728241377,149.77533699450822,145.94258597752855,-0.028508852676251584,3,momentum_exit
2020-02-18,2020-02-19,2020-02-21,29.744041442871094,28.932037353515625,3261.2787171074424,145.50541397759585,141.53315649536705,-0.030213453137252544,3,momentum_exit
2020-04-14,2020-04-15,2020-04-16,21.050308227539062,20.917917251586914,4468.950967237657,141.10919297116726,140.22171980111492,-0.009265932638865881,2,momentum_exit
2020-04-17,2020-04-20,2020-04-24,20.052955627441406,19.18799591064453,4647.749930790268,139.8016846943717,133.7715099985531,-0.046000076248605026,4,momentum_exit
2020-04-28,2020-04-29,2020-04-30,21.18269920349121,19.938217163085938,4197.475661860434,133.37079653874716,125.53527192441182,-0.0615694483394138,2,momentum_exit
2020-05-04,2020-05-05,2020-05-08,19.593997955322266,19.43512725830078,4258.4207149098465,125.15923017126828,124.14442277048559,-0.011079349513527181,4,momentum_exit
2020-05-21,2020-05-22,2020-05-29,19.94704246520996,20.45895767211914,4136.705062291181,123.77254731535682,126.94901065718437,0.02259133212841813,6,momentum_exit
2020-05-29,2020-06-01,2020-06-15,20.150043487548828,22.153573989868164,4187.542130065313,126.56873404013837,139.15353662113807,0.09613722785844359,10,gap_stop
2020-07-06,2020-07-07,2020-07-08,24.210060119628906,23.521623611450195,3820.359541412998,138.73670126430991,134.79158879029353,-0.031346295155404436,2,momentum_exit
2020-07-09,2020-07-10,2020-07-17,23.786407470703125,23.92762565612793,3766.515809308668,134.3878196775917,135.1856704695383,0.0029236370220242502,6,momentum_exit
2020-07-20,2020-07-21,2020-08-04,24.360105514526367,23.168577194213867,3688.5642333565443,134.7807208825102,128.1881777645061,-0.05176208899011214,11,gap_stop
2020-10-08,2020-10-09,2020-10-14,21.094438552856445,21.085613250732422,4039.1116642363227,127.80418921403826,127.75071964291395,-0.0034126245432382074,3,momentum_exit
2020-10-19,2020-10-20,2020-10-29,20.75904655456543,20.812002182006836,4090.362601397554,127.36804150119778,127.69295307822757,-0.00045218191214768666,8,gap_stop
2021-03-18,2021-03-19,2021-04-06,24.924976348876953,24.2718448638916,3405.1639927936917,127.31044797664526,123.97441825379728,-0.029120908670286938,12,momentum_exit
2021-04-06,2021-04-07,2021-04-08,23.848190307617188,23.83936309814453,3455.2741166518017,123.60305204834405,123.55730140572436,-0.0033645396683290585,2,momentum_exit
2021-04-12,2021-04-13,2021-04-14,23.980581283569336,24.148277282714844,3424.6371600954326,123.18718467660086,124.04863160201042,0.0039765371264679494,2,momentum_exit
2021-04-14,2021-04-15,2021-04-16,24.413061141967773,24.263017654418945,3377.3463139467553,123.67704308997243,122.91691986056532,-0.009123129589014844,2,momentum_exit
2021-04-23,2021-04-26,2021-04-27,24.42188835144043,24.245365142822266,3345.3247522646593,122.54872139867645,121.66293020996714,-0.010201928685006467,2,momentum_exit
2021-04-28,2021-04-29,2021-04-30,24.872020721435547,23.989408493041992,3251.270157233057,121.2984880825284,116.99407188465102,-0.03837535654663726,2,momentum_exit
2021-05-03,2021-05-04,2021-05-05,24.80141258239746,23.742277145385742,3135.402468609924,116.64361535379335,111.66239155809517,-0.0455722263587216,2,momentum_exit
2021-05-05,2021-05-06,2021-06-25,24.148277282714844,27.489597184317454,3073.453365036473,111.32790611159062,126.73199245445645,0.134956816579743,36,intraday_stop
2021-07-28,2021-07-29,2021-08-27,27.255075454711914,26.84907341003418,3090.6137372921326,126.35236591689939,124.47017267192486,-0.0178472675977569,22,momentum_exit
