ticker,categoria,bh_total_return_pct,bh_cagr_pct,bh_vol_pct,bh_sharpe,bh_max_dd_pct
NVDA,Global / US Tech,3762.64,73.11,51.94,1.35,-66.34
AAPL,Global / US Tech,342.73,25.04,31.37,0.703,-33.36
QQQ,Global / US Tech,245.51,20.47,24.91,0.701,-35.12
PRIO3.SA,Ação Brasil (B3),800.08,39.54,56.74,0.644,-78.79
SPY,Global / US Tech,160.09,15.44,20.12,0.618,-33.72
WEGE3.SA,Ação Brasil (B3),188.54,17.43,36.34,0.397,-50.48
PDD,Ação China,91.37,10.18,67.06,0.107,-87.41
PETR4.SA,Ação Brasil (B3),57.0,7.08,42.03,0.097,-63.36
VALE3.SA,Ação Brasil (B3),48.72,6.2,35.44,0.09,-58.56
ITUB4.SA,Ação Brasil (B3),23.37,3.24,30.29,0.008,-46.04
NIO,Ação China,-1.61,-0.24,76.51,-0.042,-95.0
ASHR,ETF China,11.6,1.65,25.18,-0.053,-53.43
CQQQ,ETF China,-14.9,-2.38,36.98,-0.145,-74.15
JD,Ação China,-28.65,-4.92,51.77,-0.153,-79.94
BIDU,Ação China,-34.94,-6.22,52.03,-0.177,-77.47
MCHI,ETF China,-19.87,-3.25,30.11,-0.208,-63.39
FXI,ETF China,-23.53,-3.93,30.92,-0.224,-61.54
BABA,Ação China,-48.47,-9.43,48.85,-0.254,-80.09
KWEB,ETF China,-51.99,-10.38,45.21,-0.296,-82.22
