ticker,categoria,bars,trades,win_rate_pct,total_return_pct,annualized_return_pct,annualized_vol_pct,sharpe_ratio,max_drawdown_pct,profit_factor,bh_total_return_pct,bh_cagr_pct,bh_vol_pct,bh_sharpe,bh_max_dd_pct
VALE3.SA,Ação Brasil (B3),1662,67,46.27,159.98,15.59,18.55,0.873,-22.8,2.32,48.72,6.2,35.44,0.09,-58.56
NVDA,Global / US Tech,1678,82,37.8,378.32,26.5,33.29,0.87,-46.73,2.05,3762.64,73.11,51.94,1.35,-66.34
SPY,Global / US Tech,1678,66,42.42,48.83,6.15,10.04,0.645,-16.44,1.78,160.09,15.44,20.12,0.618,-33.72
AAPL,Global / US Tech,1678,69,40.58,47.87,6.05,16.51,0.438,-22.9,1.48,342.73,25.04,31.37,0.703,-33.36
NIO,Ação China,1687,70,24.29,77.8,8.98,48.33,0.412,-83.13,1.99,-1.61,-0.24,76.51,-0.042,-95.0
QQQ,Global / US Tech,1678,63,36.51,30.13,4.03,12.81,0.373,-21.52,1.39,245.51,20.47,24.91,0.701,-35.12
WEGE3.SA,Ação Brasil (B3),1662,79,30.38,46.03,5.91,22.67,0.365,-40.64,1.42,188.54,17.43,36.34,0.397,-50.48
PRIO3.SA,Ação Brasil (B3),1662,79,32.91,40.4,5.28,30.94,0.32,-53.72,1.41,800.08,39.54,56.74,0.644,-78.79
BIDU,Ação China,1687,90,36.67,17.85,2.48,31.19,0.231,-60.22,1.34,-34.94,-6.22,52.03,-0.177,-77.47
ASHR,ETF China,1687,83,37.35,11.42,1.63,14.76,0.183,-24.44,1.21,11.6,1.65,25.18,-0.053,-53.43
CQQQ,ETF China,1687,74,35.14,-4.11,-0.62,18.15,0.056,-44.94,1.06,-14.9,-2.38,36.98,-0.145,-74.15
MCHI,ETF China,1687,78,29.49,-9.75,-1.52,16.02,-0.016,-31.76,0.99,-19.87,-3.25,30.11,-0.208,-63.39
PDD,Ação China,1687,84,34.52,-40.67,-7.5,36.85,-0.028,-69.6,0.94,91.37,10.18,67.06,0.107,-87.41
BABA,Ação China,1687,77,32.47,-40.06,-7.36,25.57,-0.172,-64.58,0.87,-48.47,-9.43,48.85,-0.254,-80.09
PETR4.SA,Ação Brasil (B3),1662,83,36.14,-38.98,-7.22,24.29,-0.184,-65.24,0.86,57.0,7.08,42.03,0.097,-63.36
FXI,ETF China,1687,79,34.18,-25.88,-4.38,16.31,-0.193,-36.35,0.84,-23.53,-3.93,30.92,-0.224,-61.54
KWEB,ETF China,1687,82,32.93,-35.79,-6.4,21.52,-0.201,-46.62,0.81,-51.99,-10.38,45.21,-0.296,-82.22
ITUB4.SA,Ação Brasil (B3),1662,76,27.63,-34.04,-6.11,15.84,-0.319,-47.08,0.74,23.37,3.24,30.29,0.008,-46.04
JD,Ação China,1687,99,34.34,-67.95,-15.63,29.07,-0.44,-75.75,0.61,-28.65,-4.92,51.77,-0.153,-79.94
