ticker,categoria,bars,trades,win_rate_pct,total_return_pct,annualized_return_pct,annualized_vol_pct,sharpe_ratio,max_drawdown_pct,profit_factor
VALE3.SA,Ação Brasil (B3),1662,67,46.27,159.98,15.59,18.55,0.873,-22.8,2.32
NVDA,Global / US Tech,1678,82,37.8,378.32,26.5,33.29,0.87,-46.73,2.05
SPY,Global / US Tech,1678,66,42.42,48.83,6.15,10.04,0.645,-16.44,1.78
AAPL,Global / US Tech,1678,69,40.58,47.87,6.05,16.51,0.438,-22.9,1.48
NIO,Ação China,1687,70,24.29,77.8,8.98,48.33,0.412,-83.13,1.99
QQQ,Global / US Tech,1678,63,36.51,30.13,4.03,12.81,0.373,-21.52,1.39
WEGE3.SA,Ação Brasil (B3),1662,79,30.38,46.03,5.91,22.67,0.365,-40.64,1.42
PRIO3.SA,Ação Brasil (B3),1662,79,32.91,40.4,5.28,30.94,0.32,-53.72,1.41
BIDU,Ação China,1687,90,36.67,17.85,2.48,31.19,0.231,-60.22,1.34
ASHR,ETF China,1687,83,37.35,11.42,1.63,14.76,0.183,-24.44,1.21
CQQQ,ETF China,1687,74,35.14,-4.11,-0.62,18.15,0.056,-44.94,1.06
MCHI,ETF China,1687,78,29.49,-9.75,-1.52,16.02,-0.016,-31.76,0.99
PDD,Ação China,1687,84,34.52,-40.67,-7.5,36.85,-0.028,-69.6,0.94
BABA,Ação China,1687,77,32.47,-40.06,-7.36,25.57,-0.172,-64.58,0.87
PETR4.SA,Ação Brasil (B3),1662,83,36.14,-38.98,-7.22,24.29,-0.184,-65.24,0.86
FXI,ETF China,1687,79,34.18,-25.88,-4.38,16.31,-0.193,-36.35,0.84
KWEB,ETF China,1687,82,32.93,-35.79,-6.4,21.52,-0.201,-46.62,0.81
ITUB4.SA,Ação Brasil (B3),1662,76,27.63,-34.04,-6.11,15.84,-0.319,-47.08,0.74
JD,Ação China,1687,99,34.34,-67.95,-15.63,29.07,-0.44,-75.75,0.61
