entry_signal_time,entry_time,exit_time,entry_price,exit_price,quantity,entry_cost,exit_cost,net_return,holding_bars,exit_reason
2020-04-09,2020-04-13,2020-04-14,59.50873115752453,61.41410381655945,1677.9088164171017,149.77533699450822,154.5708993692404,0.02892695346791041,2,momentum_exit
2020-04-14,2020-04-15,2020-06-12,61.738018399284236,69.2316626886724,1664.1056860805197,154.10788119838898,172.81320530554245,0.118019019173361,42,intraday_stop
2020-07-01,2020-07-02,2020-07-31,71.90774911883543,72.75349590546612,1597.3757515301113,172.29554218430766,174.32200529765524,0.008730814230574424,21,intraday_stop
2020-08-13,2020-08-14,2020-08-17,74.9671346484646,75.08403529599272,1545.5645852533107,173.79982255587493,174.0708388070939,-0.001440819190511644,2,momentum_exit
2020-08-20,2020-08-21,2020-09-03,77.84920424259258,80.93364542563815,1486.2015193323125,173.5494084362289,180.4255601950291,0.036506524765917536,10,intraday_stop
2020-09-14,2020-09-15,2020-09-17,75.67441267924397,73.5902403439566,1584.728468928974,179.88509421341647,174.93082336259033,-0.0304543149346429,3,momentum_exit
2020-10-12,2020-10-13,2020-10-28,78.10726907276543,75.84399905111668,1488.6093528607364,174.40681690219316,169.35312951877967,-0.03188514028913836,12,intraday_stop
2020-12-29,2020-12-30,2020-12-31,87.41815947937056,86.0447195460967,1287.6487912310704,168.84583107788467,166.1930686730218,-0.018659595218211922,2,momentum_exit
2021-01-08,2021-01-11,2021-01-12,88.01348430677218,86.44540502976464,1255.0746249908386,165.69523621568874,162.74315144986952,-0.02075849041538469,2,momentum_exit
2021-01-19,2021-01-20,2021-03-05,90.45773511852914,102.08607442092764,1195.8118932944956,162.25565324283048,183.1136128984384,0.1251693927952704,32,momentum_exit
2021-03-05,2021-03-08,2021-03-09,103.22077571333456,101.5214533376975,1179.123702408234,182.56509483683547,179.55952790011597,-0.019409179591108106,2,momentum_exit
2021-03-11,2021-03-12,2021-03-15,102.84188482601583,101.28520493789203,1160.4976994664642,179.02165612407967,176.3118709806196,-0.01808679805230351,2,momentum_exit
2021-03-25,2021-03-26,2021-03-30,100.63191893272102,101.6814411368699,1164.5326151456798,175.7837275827745,177.61703183835093,0.007402569381586233,3,momentum_exit
2021-03-31,2021-04-01,2021-05-04,103.62642953491097,112.93618475384604,1139.2523420723232,177.08497882235983,192.99421947829754,0.08657496120046293,23,intraday_stop
2021-05-20,2021-05-21,2021-05-24,114.77829654764197,114.65349484020088,1117.6102671014564,192.4161039930905,192.20688448870854,-0.004079578091599534,2,momentum_exit
2021-05-24,2021-05-25,2021-05-28,117.48207094364784,117.60193345186725,1087.434737525117,191.63112747076931,191.82664145351634,-0.0019783008095870525,4,momentum_exit
2021-05-28,2021-06-01,2021-07-19,117.60293847206076,123.2836007293231,1084.168054194145,191.25202345615182,200.49021227513717,0.04516354326998018,34,intraday_stop
2021-09-24,2021-09-27,2021-09-28,139.47726820093547,137.34803586719997,955.422796709867,199.88964249298496,196.83816682627096,-0.01821557974039356,2,momentum_exit
2021-10-15,2021-10-18,2021-10-22,139.74673571374697,135.5669687037681,936.2104751787781,196.24853677087526,190.37882428305193,-0.03281549837293518,5,intraday_stop
2021-10-26,2021-10-27,2021-11-26,138.0909634675946,142.98788914693813,916.3454699979769,189.80854323177965,196.53945672655448,0.03235986180029671,22,momentum_exit
2021-12-09,2021-12-10,2021-12-14,147.29836288030972,142.61096672120067,886.8653510584701,195.9507214592757,189.71508759897813,-0.03472264165801109,3,momentum_exit
2021-12-22,2021-12-23,2022-01-05,145.1190840665869,138.99749560633342,868.9268127254157,189.14679477541654,181.16797625103942,-0.04505235432832677,9,intraday_stop
2022-02-02,2022-02-03,2022-02-11,144.3320658335247,137.29356222530336,834.3042613296283,180.62528635712715,171.81690602654263,-0.051615469897059896,7,momentum_exit
2022-02-15,2022-02-16,2022-02-18,135.3584787799004,132.20894242873914,843.6965745606472,171.30222732651302,167.31634778011954,-0.026193919739934346,3,momentum_exit
2022-02-18,2022-02-22,2022-02-23,128.61411851423819,130.40757990733792,864.6803448937744,166.8151505326504,169.1413067565591,0.010907236505292683,2,momentum_exit
2022-02-23,2022-02-24,2022-03-02,123.77569929866215,133.35902551510424,908.2808326550557,168.63464283217598,181.69117010538855,0.07419750733563957,5,momentum_exit
2022-03-18,2022-03-21,2022-04-06,134.8800155945873,134.36391969855683,895.3484185294371,181.1469129807593,180.4537845142787,-0.0068103782390311896,13,intraday_stop
