entry_signal_time,entry_time,exit_time,entry_price,exit_price,quantity,entry_cost,exit_cost,net_return,holding_bars,exit_reason
2020-04-08,2020-04-09,2020-06-26,174.36875838401778,223.71827354302192,572.6382729818044,149.77533699450822,192.1644686942205,0.27917481327452776,55,intraday_stop
2020-07-01,2020-07-02,2020-07-23,236.91945781943653,237.54398139412177,539.1110281286539,191.58883873307948,192.09387005273823,-0.0003673865515408936,15,momentum_exit
2020-07-27,2020-07-28,2020-07-31,232.58752515242662,253.59303907846694,548.9501968339065,191.51845157030365,208.81492307674947,0.08704626034875851,4,momentum_exit
2020-07-31,2020-08-03,2020-09-04,250.45064335351154,278.07945492662327,554.1728402840732,208.1894165672834,231.15612204200065,0.10699043265715114,25,intraday_stop
2020-10-12,2020-10-13,2020-10-30,275.16364297199124,262.2920490042234,558.3675949609755,230.4636923204569,219.68307086981181,-0.04963334334750691,14,intraday_stop
2020-11-03,2020-11-04,2020-11-11,278.55386026436815,271.08946485439094,524.1954728671637,219.0250087503815,213.15580532798072,-0.029712191822460654,6,momentum_exit
2020-11-11,2020-11-12,2020-11-19,274.76708892660645,268.66072640611867,515.6301566942512,212.51729567647402,207.7943586815675,-0.02515271229964211,6,momentum_exit
2020-11-25,2020-11-27,2020-11-30,274.9752746942331,273.62710988582904,502.28009169187214,207.1719092796257,206.15617476425427,-0.007883678496891311,2,momentum_exit
2020-11-30,2020-12-01,2020-12-04,276.72985866879895,277.8599504969249,495.16071628366063,205.538632553278,206.37799817189975,0.001075996913015631,4,momentum_exit
2020-12-08,2020-12-09,2020-12-14,281.1906940080465,270.9902620847114,487.82977974731693,205.75979148741075,198.29567979967868,-0.039162693910273494,4,momentum_exit
2020-12-16,2020-12-17,2020-12-23,274.6580565826813,264.5666808927801,479.8734984976559,197.70168375434758,190.43780811889695,-0.03962704426399921,5,momentum_exit
2021-01-21,2021-01-22,2021-01-28,269.642158798507,274.7670783269518,469.4304264268193,189.8673503811469,193.47604012060836,0.015953932844125607,5,momentum_exit
2021-02-04,2021-02-05,2021-02-08,264.4774727682164,266.4105228067336,486.23292138878696,192.89648133841982,194.3063501895482,0.0042915395023706004,2,momentum_exit
2021-02-09,2021-02-10,2021-02-22,270.0783249536004,255.70449510661345,478.1928951937279,193.72430420795192,183.41410924362287,-0.056057050813315135,8,momentum_exit
