ticker,bars,trades,win_rate_pct,total_return_pct,annualized_return_pct,annualized_vol_pct,sharpe_ratio,max_drawdown_pct,profit_factor
NVDA,1678,82,37.8,378.32,26.5,33.29,0.87,-46.73,2.05
TSLA,1678,77,33.77,310.71,23.63,35.7,0.771,-42.8,1.97
SPY,1678,66,42.42,48.83,6.15,10.04,0.645,-16.44,1.78
MSFT,1678,76,38.16,64.85,7.8,17.95,0.507,-21.9,1.59
AAPL,1678,69,40.58,47.87,6.05,16.51,0.438,-22.9,1.48
AMZN,1678,78,43.59,60.02,7.32,21.67,0.434,-46.52,1.46
GOOGL,1678,84,39.29,51.8,6.47,21.02,0.403,-38.17,1.43
QQQ,1678,63,36.51,30.13,4.03,12.81,0.373,-21.52,1.39
META,1678,72,33.33,18.28,2.55,27.42,0.229,-56.65,1.27
GLD,1678,91,31.87,5.18,0.76,10.65,0.125,-19.0,1.11
SMH,1678,77,41.56,1.74,0.26,20.28,0.114,-46.06,1.12
