ticker,best_momentum_window,best_stop_multiplier,is_sharpe,is_dsr,oos_sharpe,oos_annualized_return,oos_max_drawdown,oos_trades,oos_win_rate
VBBR3.SA,45,3.0,-0.0924716673029945,0.12822027888895932,1.2477215883920847,0.23682216188051597,-0.09275854549379425,10,0.5
PRIO3.SA,45,3.0,1.1040251715768303,0.9171418511969172,1.0921813789679897,0.2144118523573526,-0.16263819131156965,10,0.4
RENT3.SA,60,2.5,0.2743610163383983,0.30960137211821925,0.957744399748428,0.171123836749554,-0.15225556837091925,7,0.5714285714285714
PETR4.SA,30,2.0,0.3035094787389208,0.3718056520006333,0.7380126011344814,0.10146524708878779,-0.13265504695308694,19,0.42105263157894735
WEGE3.SA,45,2.0,0.9611603653834182,0.6929586211212052,0.5473417881239956,0.05912383615291428,-0.13644147951322028,18,0.3888888888888889
RADL3.SA,60,1.5,-0.2811556437299879,0.044719106688756394,0.13027436745426618,0.00827927236934678,-0.10586789178959721,8,0.75
ITUB4.SA,30,1.5,0.6858874106686028,0.5570458319476449,-0.005936480649845058,-0.005284838866196684,-0.11322865251757464,21,0.47619047619047616
VALE3.SA,20,2.0,1.08282753761237,0.7593240515238739,-0.08343627632435835,-0.015757380688790845,-0.13594389171822463,17,0.4117647058823529
BBDC4.SA,30,2.0,0.7027683365795215,0.6021546316535726,-0.2631974465871443,-0.036502863868302815,-0.18553630331434612,12,0.3333333333333333
SMTO3.SA,20,1.5,0.6743659716909912,0.5524021284710641,-0.32261629289439153,-0.08284961617417275,-0.29073117079469546,23,0.391304347826087
