entry_signal_time,entry_time,exit_time,entry_price,exit_price,quantity,entry_cost,exit_cost,net_return,holding_bars,exit_reason
2020-03-02,2020-03-03,2020-03-06,40.57500076293945,38.93166732788086,2460.8804136907634,149.77533699450822,143.70926639925995,-0.043375316668926356,4,gap_stop
2020-04-06,2020-04-07,2020-05-04,40.5,40.59333419799805,2358.4985073773873,143.27878432317627,143.60897717317476,-0.0006978619305351152,17,gap_stop
2020-06-01,2020-06-02,2020-06-03,41.78499984741211,40.416664123535156,2284.3731169398156,143.1787955141438,138.49011150028443,-0.03564446856771086,2,momentum_exit
2020-06-10,2020-06-12,2020-06-15,40.856666564941406,42.313331604003906,2253.0025908731022,138.07526343787714,142.99806859844028,0.03255075073101232,2,momentum_exit
2020-06-16,2020-06-17,2020-06-26,44.84666442871094,44.21500015258789,2119.3656018244683,142.5697169201624,140.5616256120876,-0.017038292966002233,8,momentum_exit
2020-06-26,2020-06-29,2020-07-16,43.94333267211914,44.53166580200195,2126.0801702782105,140.1405723151967,142.01683741663902,0.01035283846650592,14,momentum_exit
2020-07-21,2020-07-22,2020-07-29,43.666664123535156,43.11000061035156,2161.701271285733,141.5914250229796,139.78641468678856,-0.01570534008799973,6,gap_stop
2020-08-04,2020-08-05,2020-08-06,45.29499816894531,43.74833297729492,2051.2593615689925,139.3676835394492,134.60876635907053,-0.03703971047057242,2,gap_stop
2020-09-14,2020-09-15,2020-10-28,42.77666473388672,48.481666564941406,2091.569406311988,134.20554489219361,152.1041558313754,0.12997214034066484,31,gap_stop
2021-04-01,2021-04-05,2021-04-15,87.34666442871094,84.48666409083775,1157.4456624399743,151.64852680741723,146.68308432894494,-0.03564052193577372,9,intraday_stop
2021-04-16,2021-04-19,2021-04-20,84.66500091552734,83.16666412353516,1151.5478066875287,146.2436941612097,143.65558449146292,-0.02063973396341101,2,momentum_exit
2021-04-23,2021-04-26,2021-04-28,80.0,79.64833068847656,1193.5438601657988,143.22526321989585,142.59566409852957,-0.007378205286522221,3,momentum_exit
2021-07-06,2021-07-07,2021-07-15,70.68000030517578,66.4433364868164,1340.9594153159858,142.16851782564333,133.64672647050696,-0.06275743154321411,6,momentum_exit
2021-07-20,2021-07-21,2021-07-27,66.25666809082031,65.71666717529297,1340.7092009512144,133.2463868006003,132.16041050664592,-0.01112122985061692,5,momentum_exit
2021-08-03,2021-08-04,2021-08-10,69.79000091552734,66.9385758808681,1258.6762322940042,131.7645231062266,126.38099172728604,-0.043730333139887057,5,intraday_stop
2021-09-10,2021-09-13,2021-09-22,64.8116683959961,64.14166259765625,1296.0877748628475,126.00241661477297,124.69983712829973,-0.013302274147476423,8,momentum_exit
2021-09-22,2021-09-23,2021-10-01,65.01166534423828,63.24380234309605,1274.9127126381402,124.3262979257187,120.94549140418044,-0.03010706197039037,7,intraday_stop
2021-10-04,2021-10-05,2021-10-06,64.99833679199219,64.13333129882812,1236.7823990677432,120.58319836951989,118.97846301595655,-0.01626375952825221,2,momentum_exit
2021-10-07,2021-10-08,2021-10-11,64.99500274658203,64.09666442871094,1216.7300788811142,118.6220622280905,116.98250934954265,-0.016775756013474585,2,momentum_exit
2021-10-28,2021-10-29,2021-12-21,63.80500030517578,84.51666259765625,1218.6305869079436,116.63208745433683,154.49188521732373,0.32064088961968995,36,momentum_exit
2021-12-21,2021-12-22,2021-12-30,86.16666412353516,84.51118877955845,1191.714570831158,154.02910373389687,151.0698226002937,-0.022150436006500906,6,intraday_stop
2022-02-17,2022-02-18,2022-02-21,81.08999633789062,73.43939890180316,1238.2726906773178,150.6172919285005,136.407003119791,-0.0970598841523641,2,intraday_stop
2022-02-22,2022-02-23,2022-02-24,76.91666412353516,72.1816635131836,1178.7510250847733,135.99839502257743,127.62631478773402,-0.06437124290712459,2,momentum_exit
2022-02-24,2022-02-25,2022-03-07,76.12666320800781,68.33333587646484,1114.3183736112676,127.24400930159999,114.21763754594218,-0.10506201063701415,5,momentum_exit
2022-05-03,2022-05-04,2022-05-09,59.52166748046875,59.063331604003906,1275.451474655295,113.87549784285899,112.9986200885722,-0.010672760210783228,4,momentum_exit
2022-05-09,2022-05-10,2022-05-20,59.09333419799805,55.62928308759417,1270.985224639378,112.66013196049857,106.05599529242015,-0.061439907767990354,9,intraday_stop
2022-05-27,2022-05-30,2022-05-31,58.61833190917969,57.94166564941406,1202.562411221363,105.73830384371593,104.51770373031208,-0.014504522425786814,2,momentum_exit
2022-06-02,2022-06-03,2022-06-06,57.61666488647461,56.15666580200195,1205.7231526060546,104.20462024435011,101.56408819595163,-0.02825947594468503,2,momentum_exit
2022-07-11,2022-07-12,2022-07-25,52.2400016784668,53.618987219674246,1292.2390126564499,101.25985228522984,103.93282065658597,0.023322539518734864,10,intraday_stop
2022-08-11,2022-08-12,2022-08-15,55.0,54.871665954589844,1256.018050809859,103.62148919181335,103.37970437546046,-0.005321863465565957,2,momentum_exit
2022-08-15,2022-08-16,2022-08-17,54.608333587646484,54.45166778564453,1258.2942688140972,103.0700297742359,102.77433225306858,-0.0058558120866090135,2,momentum_exit
2022-10-11,2022-10-13,2022-11-03,45.2400016784668,45.00666427612305,1509.9685712712735,102.46647104811679,101.93797283205507,-0.008137823935981059,15,gap_stop
2022-11-07,2022-11-08,2022-11-28,49.166664123535156,50.020772797720774,1378.069453617677,101.63261694738591,103.39814855833356,0.014324158953838984,14,intraday_stop
2023-01-02,2023-01-03,2023-01-04,48.0,47.0,1431.783593158818,103.0884187074349,100.94074331769666,-0.023766433682809174,2,momentum_exit
2023-01-04,2023-01-05,2023-01-31,49.0,51.0,1369.2295869491015,100.63837464075897,104.74606340160626,0.037698554209501856,19,gap_stop
2023-03-21,2023-03-22,2023-03-28,51.47999954223633,50.27749879019601,1352.3995958473051,104.43229586270981,101.99290356611169,-0.026284136568824668,5,intraday_stop
2023-04-06,2023-04-10,2023-04-20,55.86000061035156,50.630001068115234,1213.5980668931402,101.68738313605843,92.16670713459341,-0.096341961920409,9,momentum_exit
2023-04-20,2023-04-24,2023-04-25,51.09000015258789,49.70000076293945,1199.0685831243325,91.89062114217823,89.39056424414409,-0.03012088612860231,2,momentum_exit
2023-04-27,2023-04-28,2023-05-02,51.0,52.869998931884766,1165.003845836185,89.12279420646817,92.39062812750113,0.033561303798947506,2,momentum_exit
2023-05-04,2023-05-05,2023-05-11,50.7599983215332,51.0,1209.7960917276907,92.11387137824252,92.54940101716834,0.0017184956189291167,5,momentum_exit
2023-05-15,2023-05-16,2023-05-24,52.540000915527344,53.204998697553364,1170.818006024296,92.27216866264862,93.44005572839204,0.009623559973753526,7,intraday_stop
2023-07-21,2023-07-24,2023-07-25,52.09000015258789,51.79999923706055,1192.2973717128907,93.16015541168193,92.64150441761555,-0.00854613478718047,2,momentum_exit
2023-07-27,2023-07-28,2023-08-10,55.97999954223633,53.33142702920096,1099.9642362989698,92.363996166739,87.99399360436391,-0.050166616382882556,10,intraday_stop
2023-08-30,2023-08-31,2023-09-28,56.0,55.095355306352886,1044.4096071839544,87.73040700345219,86.31317758975263,-0.019101485746498836,20,intraday_stop
2023-10-03,2023-10-04,2023-10-05,58.22999954223633,58.810001373291016,985.2267051467477,86.05462588454118,86.91177582402483,0.006935189399668973,2,momentum_exit
2023-10-05,2023-10-06,2023-10-09,60.0,57.0,962.793677930757,86.65143101376813,82.31885946307973,-0.05284573140289561,2,momentum_exit
2023-10-09,2023-10-10,2023-10-11,59.150001525878906,58.380001068115234,925.0185477321901,82.072272764738,81.00387570694748,-0.01597427083792413,2,momentum_exit
2023-10-11,2023-10-13,2023-10-20,59.20000076293945,56.72999954223633,909.4732771452761,80.7612280513101,77.39162789419153,-0.04459351828823832,6,momentum_exit
2023-10-20,2023-10-23,2023-10-24,55.86000061035156,56.65999984741211,920.871224586951,77.15980075122341,78.26484516687427,0.011283097363923966,2,momentum_exit
2023-10-24,2023-10-25,2023-10-26,56.459999084472656,55.86000061035156,921.3650202028898,78.03040229568043,77.20117588633501,-0.013590639300075869,2,momentum_exit
2023-11-03,2023-11-06,2023-11-07,59.150001525878906,58.7400016784668,867.5110426380934,76.96991924364005,76.43640015097513,-0.009906270553260321,2,momentum_exit
2023-11-07,2023-11-08,2023-11-09,59.040000915527344,59.29999923706055,860.5175385886284,76.20743439914993,76.54303407267433,0.0013950672910887363,2,momentum_exit
2023-11-09,2023-11-10,2023-11-23,60.689998626708984,60.2364296231951,838.2902249139632,76.313748898218,75.74341520526352,-0.010446657584171848,9,intraday_stop
2024-02-26,2024-02-27,2024-04-19,76.52999877929688,98.02750342232841,657.8381157633295,75.51652529451384,96.72934221649179,0.2770660255331334,38,intraday_stop
2024-04-25,2024-04-26,2024-04-30,96.6500015258789,96.0,665.2152943430258,96.43958881993714,95.79100238539571,-0.009700674165611045,3,momentum_exit
2024-05-14,2024-05-15,2024-06-21,107.01000213623047,128.55000032697404,594.985253001844,95.50405979212942,114.72803170189766,0.19769110714921467,27,intraday_stop
2024-08-30,2024-09-02,2024-09-04,90.41000366210938,84.19999694824219,843.4491647419212,114.38436310968028,106.52762564590078,-0.0714769174921811,3,momentum_exit
2024-09-04,2024-09-05,2024-09-06,84.08000183105469,83.41999816894531,842.1227332091247,106.20852142529397,105.3748152934986,-0.010821703247513748,2,momentum_exit
2024-09-26,2024-09-27,2024-10-25,99.79000091552734,102.5999984741211,701.8683459278,105.05916432407224,108.01753683183925,0.025079251915933742,21,momentum_exit
2024-10-25,2024-10-28,2024-10-31,102.5199966430664,96.19892965044293,700.3119592832893,107.69396957223313,101.0538913566855,-0.06446773069816136,4,intraday_stop
2024-11-25,2024-11-26,2024-11-27,101.56999969482422,98.94000244140625,661.2922716468116,100.7511837440344,98.14238845682794,-0.028811388267879212,2,momentum_exit
2024-12-02,2024-12-03,2024-12-06,100.55000305175781,101.4800033569336,648.7545121894522,97.8484022707366,98.75341511221714,0.006225919961770243,4,momentum_exit
2024-12-13,2024-12-16,2024-12-19,106.0,96.31999969482422,619.2301798217692,98.4575985916613,89.46637609718813,-0.09404271239101747,4,gap_stop
2025-01-06,2025-01-07,2025-01-08,101.5199966430664,105.08000183105469,585.7524423042654,89.19837896459546,92.32630156481545,0.031966483861160855,2,momentum_exit
2025-01-08,2025-01-09,2025-01-10,106.9000015258789,100.79000091552734,574.055105658254,92.04973750620888,86.78852193728785,-0.059980520541483284,2,momentum_exit
2025-01-15,2025-01-16,2025-01-20,104.04000091552734,108.3499984741211,554.4569112741824,86.5285463348796,90.11310823578535,0.038306750988337024,3,momentum_exit
2025-01-21,2025-01-22,2025-01-27,111.6500015258789,95.80000305175781,536.4572180018479,89.8431738127126,77.08890468257181,-0.1445317313784702,4,gap_stop
