entry_signal_time,entry_time,exit_time,entry_price,exit_price,quantity,entry_cost,exit_cost,net_return,holding_bars,exit_reason
2020-02-04,2020-02-05,2020-02-10,73.25,71.29000091552734,1363.1429988123616,149.77533699450822,145.7676984499919,-0.02967302065122046,4,momentum_exit
2020-02-10,2020-02-11,2020-02-24,73.55999755859375,69.38500213623047,1317.1203113128995,145.3310503268267,137.0825934211771,-0.05958182176961779,9,gap_stop
2020-04-06,2020-04-07,2020-04-08,63.849998474121094,62.494998931884766,1427.0108572678776,136.67196158866233,133.77156300111596,-0.02415354376823209,2,momentum_exit
2020-04-08,2020-04-09,2020-05-01,64.09500122070312,63.65875312260219,1387.2204991805274,133.37084938254046,132.46309092591926,-0.009781391843240561,16,intraday_stop
2020-05-18,2020-05-19,2020-05-29,68.3949966430664,69.38500213623047,1287.290039001728,132.06629684426403,133.97793315912466,0.0114359571607201,8,momentum_exit
2020-05-29,2020-06-01,2020-06-11,70.44999694824219,72.06071771894183,1264.0322417187635,133.57660135734994,136.63060583720562,0.01979932527344186,9,intraday_stop
2020-09-09,2020-09-10,2020-09-11,85.23999786376953,83.9000015258789,1065.3944263290866,136.22132793654495,134.0798909920099,-0.018668693076241638,2,momentum_exit
2020-09-15,2020-09-16,2020-09-17,87.23999786376953,83.26000213623047,1021.5364286123753,133.67825377485957,127.57968784275543,-0.04848007483569483,2,momentum_exit
2020-10-05,2020-10-06,2020-10-26,89.30999755859375,89.539642061506,949.4832643232257,127.19752202794938,127.52458744633789,-0.0004318900394666425,15,intraday_stop
2020-10-30,2020-11-02,2020-11-03,88.25499725341797,88.91500091552734,960.4184136267452,127.14258668514066,128.09340619036703,0.004460463314719831,2,momentum_exit
2020-11-03,2020-11-04,2020-11-11,91.94999694824219,96.0,925.9358765081485,127.70970152878832,133.33476621717338,0.040918265683534516,6,momentum_exit
2020-11-11,2020-11-12,2020-12-10,97.84500122070312,105.77928243364606,905.7547438487518,132.93536102630816,143.7151302977878,0.07785189395920233,20,intraday_stop
2021-03-26,2021-03-29,2021-03-30,119.68499755859375,118.33000183105469,798.1208092306875,143.28463065635657,141.66245522650516,-0.014282943396630055,2,momentum_exit
