entry_signal_time,entry_time,exit_time,entry_price,exit_price,quantity,entry_cost,exit_cost,net_return,holding_bars,exit_reason
2020-02-04,2020-02-05,2020-02-10,86.09666442871094,83.65666961669922,1159.7455641929387,149.77533699450822,145.53067725468165,-0.031250791741335715,4,momentum_exit
2020-02-10,2020-02-11,2020-02-24,86.4566650390625,81.62333679199219,1118.8243965116194,145.0947391301045,136.983270791348,-0.05873267839175622,9,gap_stop
2020-04-06,2020-04-07,2020-04-08,74.50666809082031,72.94000244140625,1222.0198091439186,136.5729364804403,133.70119179360634,-0.023959706749453358,2,momentum_exit
2020-04-08,2020-04-09,2020-05-01,75.19000244140625,74.2270257132394,1181.9008258563385,133.30068897245724,131.59347448700598,-0.015764386826513932,16,intraday_stop
2020-05-18,2020-05-19,2020-06-11,80.61333465576172,85.38285909380231,1085.008957947276,131.1992853472546,138.96175045788831,0.05599271544129558,17,intraday_stop
2020-09-09,2020-09-10,2020-09-11,99.663330078125,97.67666625976562,926.7567084048563,138.54548959780476,135.78375856629012,-0.022869544181233326,2,momentum_exit
2020-10-05,2020-10-06,2020-10-26,103.82666778564453,103.9261886051723,869.2501344762404,135.37701740233717,135.5067801309737,-0.0020398495242799353,15,intraday_stop
2020-10-30,2020-11-02,2020-11-03,102.77999877929688,103.08999633789062,876.3110220040472,135.10086865779056,135.50835007387562,1.158571475468051e-05,2,momentum_exit
2020-11-03,2020-11-04,2020-11-11,106.336669921875,111.4000015258789,847.0106251347848,135.1024338979179,141.53547739867602,0.044477903549962505,6,momentum_exit
2020-11-11,2020-11-12,2020-12-11,113.83999633789062,122.38011714390346,826.3733395502403,141.1115069221947,151.69749914813568,0.07179840656371517,21,intraday_stop
2021-03-26,2021-03-29,2021-03-30,139.1300048828125,137.1999969482422,724.7087038936623,151.24308826701295,149.14504794386255,-0.016825928038408988,2,momentum_exit
2021-03-31,2021-04-01,2021-05-03,143.7899932861328,141.67666625976562,689.4234179037547,148.69828294752546,146.51281723502578,-0.017648797228772328,22,momentum_exit
2021-05-28,2021-06-01,2021-07-08,145.31666564941406,144.50999450683594,670.1407873658524,146.07393710351798,145.26306225156907,-0.008530004453139117,27,gap_stop
2021-07-20,2021-07-21,2021-07-28,144.5933380126953,146.19667053222656,667.7482644777704,144.8279257695374,146.43385953048403,0.008059841647062083,6,momentum_exit
2021-07-30,2021-08-02,2021-08-17,153.76333618164062,148.55298069545202,632.9866817529165,145.99521591731232,141.04808747237885,-0.03677955409612055,12,intraday_stop
2021-08-20,2021-08-23,2021-09-02,150.1199951171875,155.9499969482422,624.502982279524,140.62557697570676,146.08685727098987,0.03572377257222792,9,momentum_exit
2021-09-03,2021-09-07,2021-09-20,157.0399932861328,153.0,618.3106611152517,145.6492531054252,141.90229672595026,-0.028644332715552,10,gap_stop
2021-10-18,2021-10-19,2021-10-21,152.96665954589844,153.17666625976562,616.5928700179742,141.4772274397018,141.67146040334143,-0.001626727177324483,3,momentum_exit
2021-10-26,2021-10-27,2021-12-06,154.20333862304688,170.3283293587821,610.6529376519507,141.24708258885312,156.01724203243393,0.10126091443011731,28,intraday_stop
2021-12-15,2021-12-16,2021-12-17,180.89999389648438,170.61000061035156,573.2445055485421,155.5498913323867,146.70186816227616,-0.059707335861130084,2,momentum_exit
2021-12-21,2021-12-22,2022-01-06,175.79666137695312,177.52999877929688,554.6651477216906,146.26242172744156,147.7045544969254,0.0068348573007950275,11,momentum_exit
2022-01-11,2022-01-12,2022-01-14,178.7899932861328,172.836669921875,549.1064378632619,147.26210450841737,142.35859222942378,-0.03619361830587897,3,momentum_exit
2022-01-14,2022-01-18,2022-01-19,175.5366668701172,171.79666137695312,539.0408687355614,141.93215610691922,138.90813239175282,-0.024237805274936908,2,momentum_exit
2022-02-24,2022-02-25,2022-03-02,156.4066619873047,153.58999633789062,590.3074732037904,138.49203214494776,135.99798397139946,-0.02095016591358434,4,momentum_exit
2022-03-18,2022-03-21,2022-04-01,157.46665954589844,153.76725878034318,574.0499882528239,135.59060109380164,132.40513964478743,-0.02641836460875502,10,intraday_stop
2022-05-27,2022-05-31,2022-06-10,142.53334045410156,130.73475592476981,617.4392542639036,132.00851915658535,121.081155306845,-0.08552526260175441,9,intraday_stop
2022-07-18,2022-07-19,2022-08-09,124.66000366210938,130.5216666630336,645.5877444982633,120.71845589004965,126.39478258371305,0.043884841232330496,16,intraday_stop
2022-08-25,2022-08-26,2022-08-29,136.02333068847656,127.2300033569336,617.6203524438092,126.01616616059657,117.86975927210455,-0.06744758871642709,2,momentum_exit
2022-10-25,2022-10-26,2022-10-27,107.79666900634766,109.69999694824219,726.7799070047066,117.51667961377574,119.5916303706901,0.014608251592425514,2,momentum_exit
2022-10-28,2022-10-31,2022-11-01,110.24666595458984,111.01333618164062,721.0098180202081,119.23339283588024,120.06255797721133,0.0039377973614167505,2,momentum_exit
2022-11-04,2022-11-07,2022-12-15,110.68333435058594,124.26333618164062,720.9932761658406,119.70290977558213,134.38954479134748,0.11932934842897058,28,momentum_exit
2023-01-10,2023-01-11,2023-01-12,125.12999725341797,127.3499984741211,713.854833347428,133.98698000415422,136.3641179063084,0.014692907234909125,2,momentum_exit
2023-01-13,2023-01-17,2023-02-21,128.29666137695312,135.11798368181502,706.464932201598,135.95563827204086,143.18417577148512,0.05001358106435716,25,intraday_stop
