trial,state,value,momentum_window,stop_multiplier,bars,total_trades,win_rate,total_return,annualized_return,annualized_volatility,return_skewness,return_kurtosis,sharpe_ratio,sortino_ratio,max_drawdown,profit_factor,exposure,final_equity
0,COMPLETE,0.40337325478068775,30,3.5,1163,44,0.4090909090909091,0.32465293432683806,0.06281385201793244,0.2005816386812684,0.7756792312576422,13.388634483632325,0.40337325478068775,0.6229961022868414,-0.3853009607190171,1.478633530964371,0.3594153052450559,1.324652934326838
1,COMPLETE,0.6877793185946228,50,2.5,1163,32,0.4375,0.6070987517363378,0.10826982352555503,0.17048763408591003,0.8522012788390838,14.397768351472381,0.6877793185946228,1.0845558232097872,-0.18639723921591267,2.3065625101641496,0.29148753224419605,1.6070987517363378
2,COMPLETE,-0.2376804250584399,15,1.5,1163,57,0.2982456140350877,-0.22474088448828222,-0.05366426499079424,0.17083832331777385,0.4826751720187487,18.237663349011505,-0.2376804250584399,-0.3398927543517028,-0.3814578974124958,0.8418201127321207,0.24247635425623387,0.7752591155117178
3,COMPLETE,0.12016456340311624,10,3.5,1163,79,0.31645569620253167,0.008624738715975466,0.001862536368810952,0.22400491503764042,0.13382990528018315,9.82671412906962,0.12016456340311624,0.1743438323415343,-0.3519748643398313,1.0905624373846103,0.472055030094583,1.0086247387159755
4,COMPLETE,0.2943472744145287,40,3.0,1163,48,0.3958333333333333,0.1939024109485914,0.0391486618334409,0.19456330514743295,0.3908398768904943,13.133698126266522,0.2943472744145287,0.4403533699585693,-0.3806143513983644,1.3196211101299364,0.3413585554600172,1.1939024109485914
5,COMPLETE,0.12016456340311624,10,3.5,1163,79,0.31645569620253167,0.008624738715975466,0.001862536368810952,0.22400491503764042,0.13382990528018315,9.82671412906962,0.12016456340311624,0.1743438323415343,-0.3519748643398313,1.0905624373846103,0.472055030094583,1.0086247387159755
6,COMPLETE,0.3489926981200869,55,2.0,1163,26,0.4230769230769231,0.2003811379633309,0.04036792744515694,0.14195857549442784,1.8525572280826423,27.57576723776306,0.3489926981200869,0.5612888802523075,-0.21948328805318573,1.473629933666014,0.19776440240756663,1.200381137963331
7,COMPLETE,-0.35153345191415786,20,1.5,1163,53,0.37735849056603776,-0.24993562834321037,-0.060414672221565824,0.14658144198595532,-0.540146936957385,20.095574382850163,-0.35153345191415786,-0.4704473728238648,-0.434000379105687,0.7505500136159273,0.1831470335339639,0.7500643716567896
8,COMPLETE,0.0034778603356766555,25,2.5,1163,47,0.2978723404255319,-0.06422965457552565,-0.01428144785320462,0.17292360217880315,-0.2980728585191908,17.022645842601673,0.0034778603356766555,0.004826803647995022,-0.35967429738600054,1.0227341956382,0.2880481513327601,0.9357703454244743
9,COMPLETE,0.7027683365795215,30,2.0,1163,44,0.4772727272727273,0.642346303850529,0.11349203350719383,0.17447716636515276,1.120120751848699,19.3786436278917,0.7027683365795215,1.1252567509300353,-0.322525749694201,1.9420611042229994,0.26053310404127256,1.642346303850529
10,COMPLETE,0.3314229927588084,40,2.0,1163,48,0.3958333333333333,0.20829443068372133,0.04185019793093869,0.16422737907192392,0.603569448464302,17.788216072756995,0.3314229927588084,0.5027810469982686,-0.3870039998030861,1.375956815733254,0.23817712811693895,1.2082944306837213
11,COMPLETE,0.6593327540463955,60,2.5,1163,22,0.5454545454545454,0.5176604877576108,0.09460417172157065,0.15526054778212064,1.1104997353535293,15.882053703700642,0.6593327540463955,1.0561280259781336,-0.1499441757486556,2.4650519302594294,0.2467755803955288,1.5176604877576108
12,COMPLETE,0.37618653049410905,45,2.5,1163,37,0.35135135135135137,0.2410505591351051,0.04790616864173902,0.1571162941550424,0.39718372004337577,16.52834036966364,0.37618653049410905,0.5652992364049736,-0.18759135658550985,1.4370427921606346,0.25709372312983664,1.241050559135105
13,COMPLETE,0.44782161459792663,50,2.0,1163,32,0.34375,0.2986556753201768,0.05825906418967075,0.15215826797184792,0.854351581640626,16.294162195557067,0.44782161459792663,0.6919086624663896,-0.2585376745673188,1.6060960193006482,0.21410146173688735,1.2986556753201768
14,COMPLETE,0.287332755878377,35,3.0,1163,39,0.38461538461538464,0.18034029080045033,0.03657945970690446,0.18255556606317994,1.0707477097406388,15.700876311309441,0.287332755878377,0.4475049350036645,-0.2918051727407103,1.397948492488412,0.3164230438521066,1.1803402908004503
15,COMPLETE,0.7027683365795215,30,2.0,1163,44,0.4772727272727273,0.642346303850529,0.11349203350719383,0.17447716636515276,1.120120751848699,19.3786436278917,0.7027683365795215,1.1252567509300353,-0.322525749694201,1.9420611042229994,0.26053310404127256,1.642346303850529
16,COMPLETE,0.6648264484096351,30,1.5,1163,44,0.5,0.5468201390946437,0.09912733471283519,0.16162889071603234,1.5728064704839881,23.056221919772735,0.6648264484096351,1.0903337146735048,-0.2840139453227586,1.8707702158027286,0.20980223559759242,1.5468201390946437
17,COMPLETE,0.10219203702347686,25,2.0,1163,47,0.3191489361702128,0.014912845917616435,0.0032126225020685517,0.16486036778050914,-0.5256209048880677,19.000479069077837,0.10219203702347686,0.14163118370558506,-0.31293550821477867,1.1208567404628555,0.2579535683576956,1.0149128459176164
18,COMPLETE,0.4760442216396032,35,2.0,1163,39,0.358974358974359,0.3319100398181585,0.06407280503560697,0.15567879977074833,1.4875493706944816,21.943666107512303,0.4760442216396032,0.7645343250110623,-0.26839165694312983,1.7404558989998864,0.23989681857265693,1.3319100398181585
19,COMPLETE,-0.35153345191415786,20,1.5,1163,53,0.37735849056603776,-0.24993562834321037,-0.060414672221565824,0.14658144198595532,-0.540146936957385,20.095574382850163,-0.35153345191415786,-0.4704473728238648,-0.434000379105687,0.7505500136159273,0.1831470335339639,0.7500643716567896
20,COMPLETE,0.516558231189542,30,3.0,1163,44,0.4318181818181818,0.4490793062750986,0.08369135464806332,0.19044027036152691,0.9797527818571088,14.768742951431292,0.516558231189542,0.81271391012194,-0.3474433976569745,1.6668989642024183,0.3284608770421324,1.4490793062750986
