trial,state,value,momentum_window,stop_multiplier,bars,total_trades,win_rate,total_return,annualized_return,annualized_volatility,return_skewness,return_kurtosis,sharpe_ratio,sortino_ratio,max_drawdown,profit_factor,exposure,final_equity
0,COMPLETE,0.014882904769875993,30,3.5,1163,48,0.2916666666666667,-0.15539523640579112,-0.0359330094354553,0.2806550583387722,-2.6238388505764516,29.76973693853911,0.014882904769875993,0.01883591025538458,-0.5411422595149546,0.978087279147857,0.44282029234737746,0.8446047635942089
1,COMPLETE,-0.2696902925045984,50,2.5,1163,41,0.3170731707317073,-0.3236748041711316,-0.08124875873807647,0.2202927177227772,-4.103373453456549,55.16625877969823,-0.2696902925045984,-0.32795033990264816,-0.6069056312204972,0.7391339959720501,0.235597592433362,0.6763251958288684
2,COMPLETE,-0.24826903618187116,15,1.5,1163,62,0.2903225806451613,-0.3330973726219728,-0.08403754698801535,0.236875095442325,-2.7920831677616516,39.87491573449128,-0.24826903618187116,-0.31683450759183546,-0.4195989947951124,0.760608780973837,0.2889079965606191,0.6669026273780272
3,COMPLETE,-0.03448743079989178,10,3.5,1163,73,0.3013698630136986,-0.25187563162495075,-0.0609417823702727,0.3175815680141293,-1.9396085395135516,20.594920061247336,-0.03448743079989178,-0.044278943124458334,-0.6235549830508604,0.9264604896645002,0.5425623387790198,0.7481243683750493
4,COMPLETE,0.027270583417280343,40,3.0,1163,47,0.40425531914893614,-0.1258890011451802,-0.028733098285475878,0.2655169794418334,-2.581011441102031,29.6512027147606,0.027270583417280343,0.034581670151086236,-0.5196934894774003,0.9668901315375469,0.411006018916595,0.8741109988548198
5,COMPLETE,-0.03448743079989178,10,3.5,1163,73,0.3013698630136986,-0.25187563162495075,-0.0609417823702727,0.3175815680141293,-1.9396085395135516,20.594920061247336,-0.03448743079989178,-0.044278943124458334,-0.6235549830508604,0.9264604896645002,0.5425623387790198,0.7481243683750493
6,COMPLETE,0.01488448581745652,55,2.0,1163,37,0.43243243243243246,-0.0812990722651935,-0.018205625912218082,0.20191030491402015,-5.056568073211741,74.307646534841,0.01488448581745652,0.018149972529116803,-0.4590606882373567,0.9862034061579358,0.21582115219260534,0.9187009277348065
7,COMPLETE,-0.13846679540552487,20,1.5,1163,61,0.3442622950819672,-0.21600584872251372,-0.05136401035275806,0.21246324241632503,-3.1563509462067985,50.94511181949995,-0.13846679540552487,-0.1776991364278379,-0.3871772145917519,0.8724183370688687,0.28116938950988823,0.7839941512774863
8,COMPLETE,0.03364717826526608,25,2.5,1163,60,0.4,-0.11859672888140593,-0.026983084865415008,0.2651288487819545,-2.5236419346521206,31.846079903921787,0.03364717826526608,0.04281706144755395,-0.521568189920856,1.0491514411070988,0.3645743766122098,0.8814032711185941
9,COMPLETE,0.3035094787389208,30,2.0,1163,49,0.3469387755102041,0.21814695645859317,0.043685123384396896,0.2340699940473752,-2.8735759555214933,43.598967087750985,0.3035094787389208,0.39733082216642657,-0.38122675389191907,1.3256051224107812,0.3000859845227859,1.2181469564585932
10,COMPLETE,0.0033857038598825782,40,2.0,1163,47,0.425531914893617,-0.12166431675841904,-0.027717863272690102,0.23610548989786473,-3.2825476225132393,44.15997934692664,0.0033857038598825782,0.0042767549053535445,-0.48048538868528645,0.9522265301708261,0.29062768701633707,0.878335683241581
11,COMPLETE,0.03364717826526608,25,2.5,1163,60,0.4,-0.11859672888140593,-0.026983084865415008,0.2651288487819545,-2.5236419346521206,31.846079903921787,0.03364717826526608,0.04281706144755395,-0.521568189920856,1.0491514411070988,0.3645743766122098,0.8814032711185941
12,COMPLETE,-0.06454990417006419,35,2.5,1163,47,0.425531914893617,-0.21455457786733745,-0.050983784679094146,0.26086173336385293,-3.445438820360904,40.03152834042244,-0.06454990417006419,-0.07954717988310225,-0.5649373982203663,0.9157653849554387,0.3336199484092863,0.7854454221326626
13,COMPLETE,0.14207259349653392,25,2.0,1163,60,0.43333333333333335,0.01226906829785368,0.002645791579856338,0.2552069773063641,-2.6289821151866413,35.90414190762917,0.14207259349653392,0.18261961966975704,-0.47255299443742194,1.1304005670851351,0.3241616509028375,1.0122690682978537
14,COMPLETE,-0.06544000654073928,35,2.0,1163,47,0.40425531914893614,-0.18678590316493082,-0.043812399054898754,0.23755018030264932,-3.2229672846868738,43.44291030762187,-0.06544000654073928,-0.08224367950519797,-0.5304933763346321,0.8989496723324197,0.2794496990541703,0.8132140968350692
15,COMPLETE,0.16898856849650415,45,2.0,1163,39,0.46153846153846156,0.055864641000648474,0.011848421171544388,0.22466923434345137,-3.483791798220991,51.63859073445493,0.16898856849650415,0.21591499457018057,-0.4057777187532775,1.1613487442213257,0.2519346517626827,1.0558646410006485
16,COMPLETE,-0.11760127161321884,60,1.5,1163,33,0.30303030303030304,-0.1676186392254062,-0.03897349284632923,0.18503121438835568,-5.690669703507846,96.98953741351006,-0.11760127161321884,-0.14338877034167882,-0.36994381507943197,0.8330404337343044,0.17282889079965605,0.8323813607745938
17,COMPLETE,0.05927840727545229,45,3.0,1163,39,0.4358974358974359,-0.07798087542450594,-0.017438342373100046,0.2505893522276633,-2.7966351347144816,35.53450332602725,0.05927840727545229,0.0754557787447623,-0.5112658843424531,1.009369318047419,0.35597592433361996,0.9220191245754941
