trial,state,value,momentum_window,stop_multiplier,bars,total_trades,win_rate,total_return,annualized_return,annualized_volatility,return_skewness,return_kurtosis,sharpe_ratio,sortino_ratio,max_drawdown,profit_factor,exposure,final_equity
0,COMPLETE,-0.37516347417215073,30,3.5,1163,66,0.3181818181818182,-0.35125930319476173,-0.08950117890705156,0.19772530003868258,-0.10758219143665185,8.323875610916634,-0.37516347417215073,-0.5199909870361457,-0.44845970283624326,0.636043123434592,0.4772141014617369,0.6487406968052383
1,COMPLETE,-0.6025057354564014,50,2.5,1163,53,0.3018867924528302,-0.4051579478574373,-0.10645356309334564,0.16427971007076886,-0.6045076925073339,12.2427366855853,-0.6025057354564014,-0.7958933588240569,-0.4199416839362907,0.5274035710940056,0.3129836629406707,0.5948420521425627
2,COMPLETE,-0.4531278870901446,15,1.5,1163,72,0.4166666666666667,-0.34895488491147775,-0.08880135780547815,0.1723110361914792,-0.4674376217132531,12.585613386468868,-0.4531278870901446,-0.6136565843956379,-0.5128356233382949,0.6728003302234272,0.3129836629406707,0.6510451150885223
3,COMPLETE,-0.7064742905162219,10,3.5,1163,99,0.35353535353535354,-0.5415632669012427,-0.15548827323610748,0.2083385837595106,-0.23274361240386773,7.694805403605075,-0.7064742905162219,-0.9492903059590398,-0.6004564504683321,0.5538906541945603,0.5159071367153912,0.4584367330987573
4,COMPLETE,-0.3659656452808892,40,3.0,1163,57,0.3508771929824561,-0.33120883990292127,-0.08347613788619102,0.18920903733136757,-0.05288184347742474,9.181241248442932,-0.3659656452808892,-0.506206587920738,-0.4073703764048273,0.6451397824268589,0.4247635425623388,0.6687911600970787
5,COMPLETE,-0.7064742905162219,10,3.5,1163,99,0.35353535353535354,-0.5415632669012427,-0.15548827323610748,0.2083385837595106,-0.23274361240386773,7.694805403605075,-0.7064742905162219,-0.9492903059590398,-0.6004564504683321,0.5538906541945603,0.5159071367153912,0.4584367330987573
6,COMPLETE,-0.2082994840564508,55,2.0,1163,52,0.34615384615384615,-0.18961314174524546,-0.04453369530320361,0.1583754482717128,-0.26712610514901314,12.757200973895173,-0.2082994840564508,-0.2861073847454802,-0.4390615120141328,0.8268200280067142,0.27858985382631124,0.8103868582547545
7,COMPLETE,-0.9133608598533763,20,1.5,1163,67,0.3283582089552239,-0.4958082608219957,-0.13789900720254633,0.15009485599610947,0.24933587588318995,11.42900922854721,-0.9133608598533763,-1.2386932837120535,-0.5369643685167544,0.42470470433187146,0.2828890799656062,0.5041917391780043
8,COMPLETE,-0.6280208692512145,25,2.5,1163,75,0.28,-0.4714425529561157,-0.12903773191316192,0.1908658441423763,-0.22224573637753578,8.652728219866452,-0.6280208692512145,-0.8443314431821048,-0.6082517635623748,0.5851674040410167,0.412725709372313,0.5285574470438843
9,COMPLETE,-0.39580634292307804,30,2.0,1163,66,0.3484848484848485,-0.3018000484903308,-0.07488996794221126,0.16307583298441525,0.13382613809655336,11.175754781879297,-0.39580634292307804,-0.5575156921030509,-0.4291061696993612,0.6396835320705558,0.29664660361135,0.6981999515096692
