trial,state,value,momentum_window,stop_multiplier,bars,total_trades,win_rate,total_return,annualized_return,annualized_volatility,return_skewness,return_kurtosis,sharpe_ratio,sortino_ratio,max_drawdown,profit_factor,exposure,final_equity
0,COMPLETE,0.2391779329710067,30,3.5,1163,37,0.35135135135135137,0.14043948751335256,0.028884136484983225,0.259154520082008,0.20538881009484927,9.358537098453144,0.2391779329710067,0.34673416572905497,-0.48141445871947464,1.2958090018377146,0.4479793637145314,1.1404394875133526
1,COMPLETE,0.5495585695625865,50,2.5,1163,26,0.5384615384615384,0.47869718013302465,0.08845280819831802,0.18543657308648953,0.3442805771096199,10.048039135887969,0.5495585695625865,0.8277956165945517,-0.318348325035395,2.393512458730478,0.29148753224419605,1.4786971801330246
2,COMPLETE,0.049476467462946504,15,1.5,1163,72,0.4027777777777778,-0.07062771686179559,-0.01574571090541721,0.2344521127611556,0.08255337509452465,11.793306183410262,0.049476467462946504,0.07048897236247817,-0.5168869821721926,1.0199684647363623,0.30180567497850386,0.9293722831382044
3,COMPLETE,-0.04063769963939787,10,3.5,1163,71,0.36619718309859156,-0.2025131812024521,-0.04785004131834114,0.27464904973229953,-0.31872926403659485,8.034062561114183,-0.04063769963939787,-0.05601376398707653,-0.5655381319318176,0.9775773516256092,0.47377472055030095,0.7974868187975479
4,COMPLETE,0.30301766639250266,40,3.0,1163,32,0.375,0.22306468856144113,0.04459665118293099,0.2338497597233168,0.4258380472516007,10.315253882672065,0.30301766639250266,0.44834425603930117,-0.3853039909183127,1.4631642291413787,0.4067067927773001,1.2230646885614411
5,COMPLETE,-0.04063769963939787,10,3.5,1163,71,0.36619718309859156,-0.2025131812024521,-0.04785004131834114,0.27464904973229953,-0.31872926403659485,8.034062561114183,-0.04063769963939787,-0.05601376398707653,-0.5655381319318176,0.9775773516256092,0.47377472055030095,0.7974868187975479
6,COMPLETE,0.10995700421533293,55,2.0,1163,28,0.35714285714285715,0.02411138757199538,0.0051758378621697965,0.1522384809860382,0.12589995927512093,17.298375290071814,0.10995700421533293,0.1583606031457069,-0.27976007850555407,1.1280778049727755,0.1711092003439381,1.0241113875719954
7,COMPLETE,0.6743659716909912,20,1.5,1163,45,0.5111111111111111,0.7019113585260248,0.12212088560512635,0.20064724269538606,0.37751730345218126,16.108043899029408,0.6743659716909912,1.0282321736308406,-0.22075086787810005,1.8705562092442978,0.22098022355975924,1.7019113585260248
8,COMPLETE,-0.03024093925795636,25,2.5,1163,45,0.4,-0.18004383283490732,-0.04210022958050619,0.25882231011720813,-3.6279074298976557,72.20665240376836,-0.03024093925795636,-0.03916556427517992,-0.4890149739258498,0.9500415413797825,0.3310404127257094,0.8199561671650927
9,COMPLETE,0.30670520666772266,30,2.0,1163,37,0.40540540540540543,0.217068086529,0.04348476366069565,0.2116106640233582,0.29988921824079284,14.609378815842136,0.30670520666772266,0.4485430172849732,-0.4253474721591596,1.3654205849154823,0.28460877042132415,1.217068086529
10,COMPLETE,-0.1736934177355453,60,1.5,1163,27,0.25925925925925924,-0.13010185988843825,-0.029749326149285715,0.12727417693147522,0.15913297669615625,24.064667576276307,-0.1736934177355453,-0.24539788600133272,-0.27622737534415,0.7951808746583546,0.12295786758383491,0.8698981401115617
11,COMPLETE,0.48861969066825023,45,2.5,1163,20,0.5,0.3958843770432521,0.07494469950917804,0.18144100881876982,0.6358848078575017,14.990876861213918,0.48861969066825023,0.7384922394297092,-0.25577499631108336,2.172451843675225,0.2708512467755804,1.395884377043252
12,COMPLETE,0.5836772905627972,45,2.0,1163,20,0.55,0.47676685709591315,0.08814477087474915,0.1691745351845166,0.5094642159740941,18.831212181408976,0.5836772905627972,0.8774556504992831,-0.22615897794667794,2.4036997920435152,0.2235597592433362,1.4767668570959132
