trial,state,value,momentum_window,stop_multiplier,bars,total_trades,win_rate,total_return,annualized_return,annualized_volatility,return_skewness,return_kurtosis,sharpe_ratio,sortino_ratio,max_drawdown,profit_factor,exposure,final_equity
0,COMPLETE,-0.12589114779656338,30,3.5,1163,44,0.25,-0.24469149727856943,-0.05899513717885663,0.24468100209664914,-0.14035023319683335,12.000674629105403,-0.12589114779656338,-0.17498250763729897,-0.5268690416839508,0.8868976994264677,0.4419604471195185,0.7553085027214306
1,COMPLETE,-0.2851351224672008,50,2.5,1163,36,0.3055555555555556,-0.24628606184806467,-0.05942595119953309,0.1663523645619887,0.12388058639147916,12.777757727881276,-0.2851351224672008,-0.3986973578150043,-0.43224948651313533,0.647180599134448,0.25623387790197766,0.7537139381519353
2,COMPLETE,-0.27568671854645377,15,1.5,1163,68,0.27941176470588236,-0.3011176151157752,-0.07469411573493234,0.20551582946836291,0.9142812027744595,13.58919978327108,-0.27568671854645377,-0.40714791137209266,-0.39544179537331625,0.771910081384686,0.3069647463456578,0.6988823848842248
3,COMPLETE,-0.5881251009556846,10,3.5,1163,90,0.24444444444444444,-0.5786685163982801,-0.1707926652821259,0.26063022110692785,0.15395678164379314,8.022731097045144,-0.5881251009556846,-0.8168377174636474,-0.6806848267472039,0.6470005059969044,0.5184866723989682,0.4213314836017199
4,COMPLETE,0.29605319164581306,40,3.0,1163,35,0.34285714285714286,0.2010441254077333,0.04049240756480699,0.20411199793190768,0.550447086751775,12.954938036431871,0.29605319164581306,0.4400338375731887,-0.3651483680907607,1.3957900623705486,0.3422184006878762,1.2010441254077333
5,COMPLETE,-0.5881251009556846,10,3.5,1163,90,0.24444444444444444,-0.5786685163982801,-0.1707926652821259,0.26063022110692785,0.15395678164379314,8.022731097045144,-0.5881251009556846,-0.8168377174636474,-0.6806848267472039,0.6470005059969044,0.5184866723989682,0.4213314836017199
6,COMPLETE,-0.1542584767381605,55,2.0,1163,32,0.4375,-0.1430087232614743,-0.03288691396480248,0.14684088247507573,-0.062153335262916796,20.68617470329486,-0.1542584767381605,-0.2136868752024778,-0.2061452150372175,0.7770140479266381,0.1590713671539123,0.8569912767385257
7,COMPLETE,-0.23426720228605624,20,1.5,1163,63,0.30158730158730157,-0.24846941857225202,-0.06001700262874177,0.18865993236849446,0.8063227610357353,15.672832805904374,-0.23426720228605624,-0.3417611429603509,-0.34753772074647804,0.7688662466947527,0.2553740326741187,0.751530581427748
8,COMPLETE,-0.06595846540304373,25,2.5,1163,47,0.3617021276595745,-0.18070525047448116,-0.04226770970819649,0.23459201633048726,-0.5762361562005871,19.113579109209724,-0.06595846540304373,-0.09159560651307332,-0.47932708304011895,0.9266848288039319,0.4006878761822872,0.8192947495255188
9,COMPLETE,-0.37504184292500725,30,2.0,1163,44,0.18181818181818182,-0.3535100799965226,-0.09018659209750401,0.19919810197492133,0.3781122517100537,16.453161534047382,-0.37504184292500725,-0.525872177387153,-0.4809973994191813,0.6759595710415517,0.27429062768701634,0.6464899200034774
10,COMPLETE,-0.0924716673029945,45,3.0,1163,40,0.35,-0.15825826652398822,-0.036642060963854806,0.19608709130686497,0.2198182221066414,14.248247501704547,-0.0924716673029945,-0.13117778068409638,-0.44995196480260025,0.8400115760319072,0.3310404127257094,0.8417417334760118
11,COMPLETE,-0.15185682618031646,35,2.5,1163,38,0.3157894736842105,-0.2033111994987199,-0.04805657257654905,0.1970154874934222,0.5580915345797828,16.26054909402583,-0.15185682618031646,-0.21985670583557096,-0.540521311023664,0.8153811403128621,0.2708512467755804,0.7966888005012801
12,COMPLETE,0.29605319164581306,40,3.0,1163,35,0.34285714285714286,0.2010441254077333,0.04049240756480699,0.20411199793190768,0.550447086751775,12.954938036431871,0.29605319164581306,0.4400338375731887,-0.3651483680907607,1.3957900623705486,0.3422184006878762,1.2010441254077333
13,COMPLETE,0.29605319164581306,40,3.0,1163,35,0.34285714285714286,0.2010441254077333,0.04049240756480699,0.20411199793190768,0.550447086751775,12.954938036431871,0.29605319164581306,0.4400338375731887,-0.3651483680907607,1.3957900623705486,0.3422184006878762,1.2010441254077333
14,COMPLETE,-0.3396387211194019,60,3.0,1163,36,0.2222222222222222,-0.3110964979288622,-0.07757301586836662,0.18634669890832944,-0.5384539226086227,15.769685217982879,-0.3396387211194019,-0.45764664724110665,-0.4682592352459912,0.65254358775127,0.28030954428202925,0.6889035020711378
15,COMPLETE,0.29605319164581306,40,3.0,1163,35,0.34285714285714286,0.2010441254077333,0.04049240756480699,0.20411199793190768,0.550447086751775,12.954938036431871,0.29605319164581306,0.4400338375731887,-0.3651483680907607,1.3957900623705486,0.3422184006878762,1.2010441254077333
16,COMPLETE,-0.0924716673029945,45,3.0,1163,40,0.35,-0.15825826652398822,-0.036642060963854806,0.19608709130686497,0.2198182221066414,14.248247501704547,-0.0924716673029945,-0.13117778068409638,-0.44995196480260025,0.8400115760319072,0.3310404127257094,0.8417417334760118
17,COMPLETE,-0.15185682618031646,35,2.5,1163,38,0.3157894736842105,-0.2033111994987199,-0.04805657257654905,0.1970154874934222,0.5580915345797828,16.26054909402583,-0.15185682618031646,-0.21985670583557096,-0.540521311023664,0.8153811403128621,0.2708512467755804,0.7966888005012801
18,COMPLETE,-0.15935889771130185,50,3.5,1163,36,0.25,-0.20733751619320606,-0.049101082459520495,0.19566041908239587,-0.11372806751109682,12.124943659499776,-0.15935889771130185,-0.2223366646054939,-0.49919023742951596,0.7528642559150495,0.3482373172828891,0.7926624838067939
